id,created_at,title,content,source,visibility,kind,status,scheduled_at,occurred_at,completed_at,duration_minutes,tags,reason,needs_confirmation,created_by_id,originating_capture_entry_id,owner_id,tenant_id,user_id,type_id,contact_id,customer_id,deal_id,ticket_id
9810000e-e3d4-49ac-af64-2ba6a87aae46,2026-03-10 21:06:23.688056+00:00,Presentación ejecutiva,"{""body"": ""Actividad demo #2""}",manual,public,other,planned,,2026-02-15 21:06:23.633958+00:00,,,[],,False,2,,2,1,2,,,,,
cd9ab09e-a5e3-445e-b2c5-eabde4736cde,2026-03-10 21:06:23.689057+00:00,Negociación de contrato,"{""body"": ""Actividad demo #3""}",manual,public,other,planned,,2026-02-05 21:06:23.633964+00:00,,,[],,False,3,,3,1,3,,d7678f65-b816-45d9-9b89-0942d0a11993,,,
e40d53ae-db32-4c20-a966-f7a03fae1b3e,2026-03-10 21:06:23.703952+00:00,Demo de producto,"{""body"": ""Actividad demo #5""}",manual,public,other,planned,,2026-01-25 21:06:23.633972+00:00,,,[],,False,5,,5,1,5,,0e0a9809-74ce-4901-8bbb-d59af1a7035b,,,
c2694c2d-ab95-4abe-8ee7-87c6504d1c8c,2026-03-10 21:06:23.744763+00:00,Nota de reunión,"{""body"": ""Actividad demo #4""}",manual,public,other,completed,,2025-12-27 21:06:23.633968+00:00,2025-12-27 21:06:23.633968+00:00,,[],,False,4,,4,1,4,,,,,
10f7b607-f1d9-4022-8a22-364158c6b2ad,2026-03-10 21:06:23.782031+00:00,Tarea: enviar documentación,"{""body"": ""Actividad demo #9""}",manual,public,other,completed,,2026-01-10 21:06:23.633988+00:00,2026-01-10 21:06:23.633988+00:00,,[],,False,2,,2,1,2,,,,,
b4417e52-80f7-404b-91f6-570fcacefa5b,2026-03-10 21:06:23.884260+00:00,Almuerzo de negocios,"{""body"": ""Actividad demo #17""}",manual,public,other,completed,,2026-02-09 21:06:23.634015+00:00,2026-02-09 21:06:23.634015+00:00,,[],,False,3,,3,1,3,,,77eb5ec8-e2f3-495f-9d5e-498bc4a126f8,,
aa0751be-c99d-4f73-a5ac-e37a1a3360c5,2026-03-10 21:06:23.891690+00:00,Renegociación,"{""body"": ""Actividad demo #20"", ""tags"": []}",manual,public,note,planned,,2026-02-17 21:06:23.634025+00:00,,,[],,False,6,,6,1,6,,0e0a9809-74ce-4901-8bbb-d59af1a7035b,,,
60760ff4-4ecd-4ccf-9dfd-7591e8c7829c,2026-03-10 21:06:23.917015+00:00,Negociación de contrato,"{""body"": ""Actividad demo #24"", ""tags"": []}",manual,public,note,planned,,2026-01-03 21:06:23.634040+00:00,,,[],,False,3,,3,1,3,,926e05f4-1e84-4600-9660-c303a4e92251,de886dde-453b-4332-8e33-5c099fd4fe20,,
94f7e015-d94e-4e66-8f50-b0787115ee7a,2026-03-10 21:06:23.966217+00:00,Llamada de cierre,"{""body"": ""Actividad demo #25""}",manual,public,other,completed,,2026-01-04 21:06:23.634044+00:00,2026-01-04 21:06:23.634044+00:00,,[],,False,4,,4,1,4,,7f192406-b153-46f4-b8d8-c716f48c6c3d,,,
b91416dc-db3c-4c6b-8a0b-a966622a4037,2026-03-10 21:06:23.985975+00:00,Seguimiento por email,"{""body"": ""Actividad demo #28""}",manual,public,other,planned,,2026-02-14 21:06:23.634054+00:00,,,[],,False,7,,7,1,7,,eed9fe21-6d59-4f13-bb84-b3389f717880,c5ab2e87-74a1-44da-8a63-49fe6db54af4,,
35df7c85-778f-4948-9dc9-4c948828b71f,2026-03-10 21:06:23.986749+00:00,Almuerzo de negocios,"{""body"": ""Actividad demo #26"", ""tags"": []}",manual,public,note,completed,,2026-02-02 21:06:23.634048+00:00,2026-02-02 21:06:23.634048+00:00,,[],,False,5,,5,1,5,,,,,
3acec450-32ad-459c-9b0d-957aa03a9fd2,2026-03-10 21:06:24.018058+00:00,Envío de propuesta,"{""body"": ""Actividad demo #33"", ""tags"": []}",manual,public,note,planned,,2026-02-03 21:06:23.634071+00:00,,,[],,False,5,,5,1,5,,5a72be5b-9908-4cb8-9538-ef30e7ffc9c3,aa8d5780-7b1d-44a2-a076-f1d3e3de4e9a,,
e03e35a0-3fad-4580-bb4e-261b00e7d8c5,2026-03-10 21:06:24.041949+00:00,Visita a oficina,"{""body"": ""Actividad demo #37""}",manual,public,other,completed,,2026-01-23 21:06:23.634084+00:00,2026-01-23 21:06:23.634084+00:00,,[],,False,2,,2,1,2,,3932afdb-bfc8-43ad-ab9c-9caddf2d39fc,63493f94-3545-4217-bb14-89ff2b8bc379,,
f56f9d7c-75d4-4266-bd33-174caaf916c6,2026-03-10 21:06:24.130405+00:00,Reunión de ventas,"{""body"": ""Actividad demo #44"", ""tags"": []}",manual,public,note,completed,,2025-12-15 21:06:23.634108+00:00,2025-12-15 21:06:23.634108+00:00,,[],,False,2,,2,1,2,,7f192406-b153-46f4-b8d8-c716f48c6c3d,,,
48b64019-1df9-4e1f-93c2-90c60cf4f67c,2026-03-10 21:06:24.158728+00:00,Webinar de capacitación,"{""body"": ""Actividad demo #48""}",manual,public,other,completed,,2026-01-13 21:06:23.634120+00:00,2026-01-13 21:06:23.634120+00:00,,[],,False,6,,6,1,6,,3932afdb-bfc8-43ad-ab9c-9caddf2d39fc,,,
